Course Number,Name,Units
95705,Telecommunications Management,12.0
95706,Object Oriented Analysis and Design,6.0
95710,Economic Analysis,6.0
95712,Object Oriented Programming in JAVA,12.0
95713,Intermediate Java II,6.0
95715,Financial Accounting,6.0
95716,Principles of Finance,6.0
95717,Writing for Information Systems Management,6.0
95719,Accounting and Finance Foundations,6.0
95722,Digital Transformation,6.0
95729,"E-Commerce Tech, Analytics, and Bots",6.0
95733,Internet of Things,6.0
95736,Advanced Relational Database Management,6.0
95737,NoSQL Database Management,6.0
95743,Cybersecurity Policy and Governance II,6.0
95744,Cybersecurity Policy and Governance I,6.0
95752,Introduction to Information Security Management,12.0
95760,Decision Making Under Uncertainty,6.0
95771,Data Structures and Algorithms,12.0
95775,IT Business Leadership,6.0
95791,Data Mining,6.0
95796,Statistics for IT Managers,6.0
95797,Data Warehousing,6.0
95799,Linux and Open Source,6.0
95801,Data Mining Techniques,6.0
95808,IT Project Management,6.0
95813,Intermediate Database Management,6.0
95831,Enterprise Architectures,6.0
95855,Network Situational Awareness,12.0
95865,Unstructured Data Analytics,6.0
95871,Mobile Application Development Project,12.0
95874,Agile Methods,6.0
95880,Python for Developers,6.0
95881,Web Application Development,6.0
95882,Enterprise Web Development,6.0
95883,Ethical Penetration Testing,6.0
95884,Network Defenses,6.0
95885,Data Science and Big Data,12.0
95887,Cloud Computing for Business,6.0
95888,Data Focused Python,6.0
95900,Internship,
84326,Theories of International Relations,9.0
84333,"Power and Levers for Change in Washington, DC",12.0
84334,Presidential Power in a Constitutional System,6.0
84346,Legal Issues in Public Administration,6.0
84386,The Privatization of Force,9.0
84388,Concepts of War and Cyber War,6.0
84405,"Future of Warfare: Cyber, Violent Non-State Actors & Conflict in the Gray Zone",9.0
84450,Policy Forum,6.0
84605,"Future of Warfare: Cyber, Violent Non-State Actors & Conflict in the Gray Zone",12.0
84686,The Privatization of Force,12.0
84688,Concepts of War and Cyber War,6.0
84736,Analytical Social Science and National Security,6.0
84765,Advanced Research Methods,12.0
8532,Law of Computer Technology,9.0
8604,Foundations of Privacy,12.0
8606,Privacy by Design Project Workshop,6.0
8632,Law of Computer Technology,6.0
8671,Java for Application Programmers,6.0
8672,J2EE Web Application Development,6.0
8722,Data Structures for Application Programmers,6.0
8725,Social Software Engineering,6.0
8732,Law of Computer Technology,12.0
49700,Engineering Design Fundamentals,6.0
49701,Industrial Design Fundamentals,6.0
49712,User Research Methods,6.0
49716,Special Topics: Experience Innovation,12.0
49730,Design for Manufacture,6.0
49731,Design for the Environment,6.0
49750,Software Product Definition,12.0
49751,Requirements Analysis,12.0
49760,Foundations of Software Management,12.0
49761,Elements of Software Management,12.0
49770,Metrics for Software Managers,12.0
49774,Product Management,12.0
49775,The First-Time Manager,12.0
49780,Human Computer Interaction & User Experience,12.0
49786,Software Engineering Management,12.0
49787,Special Topics:  Architecture & Programming Principles,12.0
49800,Commercializing Intellectual Property,12.0
49802,Innovation & Entrepreneurship I,6.0
49803,Innovation & Entrepreneurship II,6.0
49808,Special Topics: Integrated Innovation for Large-Scale Problems,12.0
49853,Product Management,6.0
49854,Business Models and Strategy,6.0
49855,Venture Governance: The Role of the Board of Directors and Advisory Boards,6.0
11291,Applied Computational Intelligence Lab,9.0
11344,Machine Learning in Practice,12.0
11492,Speech Processing,12.0
11631,Seminar in Data Science,12.0
11632,Data Science Analytics Capstone,24.0
11661,Language & Statistics,12.0
11663,Applied Machine Learning,12.0
11676,Big Data Analytics,12.0
11691,Mathematical Foundations for Data Science,12.0
11692,Speech Processing,12.0
11711,Algorithms for NLP,12.0
11747,Neural Networks for NLP,12.0
11751,Speech Recognition and Understanding,12.0
11761,Language & Statistics,12.0
11777,Advanced Multimodal Machine Learning,12.0
11792,Intelligent Information Systems Project,12.0
38101,EUREKA: Discovery and Its Impact,6.0
10601,Introduction to Machine Learning (Master's),12.0
10605,TBA,12.0
10707,Topics in Deep Learning,12.0
10709,Fundamentals of Learning from the Crowd,12.0
10715,Advanced Introduction to Machine Learning,12.0
10805,Machine Learning with Large Datasets,12.0
27201,Structure of Materials,9.0
27211,Structure of Materials (Minor Option),6.0
27324,Introduction to Polymer Science and Engineering,9.0
27411,Engineering Biomaterials,9.0
27432,"Electronic and Thermal Properties of Metals, Semiconductors and Related Devices",9.0
27501,Invention & Innovation for Materials Intensive Technologies Part 1,4.5
27502,Invention and Innovation for Materials Intensive Technologies Part 2,4.5
27709,Engineering Biomaterials,12.0
27731,SPECIAL TOPICS: Hard and Superhard Materials,6.0
27774,Graduate Seminar,0.0
27798,Thermodynamics I,6.0
27799,Thermodynamics II,6.0
21112,Calculus II,10.0
21120,Differential and Integral Calculus,10.0
21122,Integration and Approximation,10.0
21127,Concepts of Mathematics,10.0
21128,Mathematical Concepts and Proofs,12.0
21228,Discrete Mathematics,9.0
21235,Mathematical Studies Analysis I,12.0
21240,Matrix Algebra with Applications,10.0
21241,Matrices and Linear Transformations,10.0
21242,Matrix Theory,10.0
21257,Models and Methods for Optimization,9.0
21259,Calculus in Three Dimensions,9.0
21260,Differential Equations,9.0
21268,Multidimensional Calculus,10.0
21295,Putnam Seminar,3.0
21300,Basic Logic,9.0
21301,Combinatorics,9.0
21341,Linear Algebra,9.0
21355,Principles of Real Analysis I,9.0
21369,Numerical Methods,9.0
21370,Discrete Time Finance,9.0
21371,Functions of a Complex Variable,9.0
21441,Number Theory,9.0
21484,Graph Theory,9.0
21602,Introduction to Set Theory I,12.0
21610,Algebra I,12.0
21620,Real Analysis,6.0
21621,Introduction to Lebesgue Integration,6.0
21632,Introduction to Differential Equations,12.0
21690,Methods of Optimization,12.0
21801,Markov Chains and Counting Problems,12.0
21880,Stochastic Calculus,12.0
21997,Mathematics Colloquium,0.0
24202,Introduction to Computer Aided Design,1.0
24221,Thermodynamics I,10.0
24261,Statics,10.0
24300,Fundamentals of CNC Machining,1.0
24302,Mechanical Engineering Seminar I,2.0
24334,Introduction to Biomechanics,9.0
24421,Internal Combustion Engines,12.0
24425,Combustion and Air Pollution Control,9.0
24451,Feedback Control Systems,12.0
24623,Molecular Simulation of Materials,12.0
24642,Fuel Cell Systems,12.0
24646,Special Topics:Energy Technology Environmental Control Systems,12.0
24650,Applied Finite Element Analysis,12.0
24672,Special Topics in DIY Design and Fabrication,12.0
24683,Design for Manufacture and the Environment,12.0
24691,Special Topics: Mechanical Engineering Project Management,12.0
24692,Special Topics: Engineering a Startup: How to Start and Grow a Hardware Company,12.0
24703,Numerical Methods in Engineering,12.0
24704,Probability and Estimation Methods for Engineering Systems,12.0
24722,Energy System Modeling,12.0
24740,Combustion and Air Pollution Control,12.0
24751,Introduction to Solid Mechanics I,12.0
24755,Finite Element Method in Mechanics I,12.0
24771,Linear Systems,12.0
24787,Artificial Intelligence and Machine Learning for Engineering Design,12.0
82101,Elementary French I,12.0
82102,Elementary French II,12.0
82103,Elementary French I Online,12.0
82104,Elementary French II Online,12.0
82111,Elementary Arabic I,12.0
82114,Arabic for Global Exchange Online,6.0
82115,Beginning Arabic for Oral Communication,6.0
82119,Arabic Calligraphy Culture & Skills,9.0
82121,Elementary German I,12.0
82122,Elementary German II,12.0
82131,Elementary Chinese I,12.0
82132,Elementary Chinese II,12.0
82133,Elementary Chinese Online I,12.0
82134,Elementary Chinese Online II,12.0
82135,Elementary Chinese for Heritage Students,9.0
82137,Chinese Calligraphy: Culture and Skills,9.0
82143,Elementary Spanish I Online,12.0
82161,Elementary Italian I,12.0
82171,Elementary Japanese I,12.0
82172,Elementary Japanese II,12.0
82173,Introduction to Japanese I,9.0
82174,Introduction to Japanese II,9.0
82211,Intermediate Arabic I,12.0
82221,Intermediate German I,9.0
82222,Intermediate German II,9.0
82231,Intermediate Chinese I,12.0
82232,Intermediate Chinese II,12.0
82241,Intermediate Spanish I,9.0
82242,Intermediate Spanish II,9.0
82261,Intermediate Italian I,9.0
82271,Intermediate Japanese I,12.0
82273,Introduction to Japanese Language and Culture,9.0
82278,Japanese Film and Literature: The Art of Storytelling,9.0
82291,Intermediate Russian I,12.0
82293,Nineteenth-Century Russian Masterpieces,9.0
82301,"Advanced French Grammar, Syntax, and Stylistics",3.0
82303,Introduction to French Culture,9.0
82311,Advanced Arabic I,9.0
82313,Topics in Modern Arabic Literature,9.0
82320,"Contemporary Society in Germany, Austria and Switzerland",9.0
82331,Advanced Chinese I,9.0
82333,Introduction to Chinese Language and Culture,
82338,Mandarin Chinese for Oral Communication II,9.0
82342,Spain: Language and Culture,9.0
82343,Latin America: Language and Culture,9.0
82345,The Individual & Society in the Hispanic Culture,9.0
82361,Italian Language and Culture I,9.0
82371,Advanced Japanese I,9.0
82391,Advanced Russian I - Modern Russia,
82415,French as an Act of Identity,9.0
82455,"Comics, Community & Coding: Electronic Texuality & Culture in Latin Amer Comics",9.0
82783,Second Language Acquisition: Theories and Research,9.0
82888,Introduction to Linguistic Data Analysis Using R,9.0
82893,Teaching in Modern Language and Cultures I,
57006,Vocal Master Class I,0.0
57011,Piano Studio Performance Class,0.0
57015,Violin Studio Performance Class,0.0
57016,Viola Studio Performance Class,0.0
57018,Double Bass Studio Performance Class,0.0
57020,Flute Studio Performance Class,0.0
57021,Oboe Studio Performance Class,0.0
57022,Clarinet Studio Performance Class,0.0
57023,Bassoon Studio Performance Class,0.0
57100,Convocation,1.0
57101,Introduction to Music Technology,6.0
57105,Elective Studio (Jazz Piano I Class),3.0
57107,Elective Studio (Jazz Piano II Class),3.0
57111,Movement and Dance I,3.0
57143,Elective Studio (Alexander Technique I),3.0
57151,Counterpoint in Theory and Application,6.0
57161,Eurhythmics I,3.0
57163,Eurhythmics III,3.0
57171,Introduction to Music Technology (self-paced),6.0
57173,Survey of Western Music History,9.0
57180,Basic Solfege I,3.0
57181,Solfege I,3.0
57183,Solfege III,3.0
57185,Advanced Solfege I,3.0
57193,Collaborative Piano Skills I,3.0
57209,The Beatles,9.0
57220,English Diction,3.0
57221,Italian Diction,3.0
57227,Jazz Orchestra,3.0
57230,Baroque Ensemble,3.0
57273,Piano Pedagogy I,6.0
57299,Bagpipe and Drum Band,3.0
57300,Advanced Bagpipe and Drum Band,3.0
57331,Principles of Education,9.0
57337,Sound Recording,6.0
57339,Acting III,6.0
57347,Electronic and Computer Music,6.0
57360,Brass Methods,3.0
57361,Percussion Methods,3.0
57377,Psychology of Music,9.0
57402,Alexander Technique for Musicians,3.0
57403,Yoga for Musicians,3.0
57420,Jazz Vocal Ensemble,3.0
57422,Singers,3.0
57423,Repertoire Orchestra,3.0
57424,Percussion Ensemble,3.0
57429,Beginning Piano for Children I,6.0
57433,Musical Theatre Literature and Repertoire,3.0
57437,Literature and Repertoire,3.0
57442,Analytical Techniques,9.0
57444,Principles of Counterpoint,9.0
57449,Beginning Piano for Children II,6.0
57460,Collaborative Project in Music Entrepreneurship,6.0
57467,Production: Crew,3.0
57471,Production: Performance,6.0
57485,History of the Symphony,9.0
57487,Advanced Solfege III,3.0
57591,Dalcroze Pedagogy/Practice Teaching,3.0
57600,Graduate Forum,0.0
57614,Independent Study in Performance,
57729,Beginning Piano for Children I,6.0
57736,Chamber Music Literature II,6.0
57737,Literature and Repertoire,3.0
57749,Beginning Piano for Children II,6.0
57760,Collaborative Project in Music Entrepreneurship,6.0
57761,Eurhythmics I,3.0
57763,Eurhythmics III,3.0
57771,Production: Performance,6.0
57801,Introduction to Music Technology,6.0
57822,Singers,3.0
57824,Percussion Ensemble,3.0
57827,Jazz Orchestra,3.0
57831,Principles of Education,9.0
57847,Electronic and Computer Music,6.0
57860,Brass Methods,3.0
57861,Percussion Methods,3.0
57871,Introduction to Music Technology (self-paced),6.0
57885,History of the Symphony,9.0
57891,Dalcroze Pedagogy/Practice Teaching,6.0
57900,Advanced Bagpipe and Drum Band,
57901,Music Research Methods,3.0
57902,Alexander Technique for Musicians,3.0
57903,Yoga for Musicians,3.0
57923,Repertoire Orchestra,3.0
57925,The Symphonies of Mahler,9.0
57930,Baroque Ensemble,3.0
57934,Advanced Analytical Techniques,9.0
57944,Principles of Counterpoint,9.0
57947,Sound Recording,6.0
57973,Piano Pedagogy I,6.0
57981,Foundations of Pedagogy in Music Education,9.0
32100,Naval Laboratory,3.0
32101,Introduction to Naval Science,6.0
32200,Naval Laboratory,3.0
32201,Leadership & Management,9.0
32300,Naval Laboratory,3.0
32311,Naval Ship Systems I-Engineering,9.0
32400,Naval Laboratory,3.0
32410,TBA,9.0
32411,Naval Operations and Seamanship,9.0
80100,Introduction to Philosophy,9.0
80130,Introduction to Ethics,9.0
80180,Nature of Language,9.0
80208,Critical Thinking,9.0
80210,Logic and Proofs,9.0
80211,Logic and Mathematical Inquiry,9.0
80212,Arguments and Logical Analysis,9.0
80214,"Computing, AI, and Philosophy",9.0
80252,Kant,9.0
80284,Invented Languages,9.0
80285,Natural Language Syntax,9.0
80305,"Choices, Decisions, and Games",9.0
80327,Philosophy of Neuroscience,9.0
80358,Hume,9.0
80362,Russell,9.0
80411,Proof Theory,9.0
80605,"Choices, Decisions, and Games",
80627,Philosophy of Neuroscience,12.0
80658,Hume,12.0
80662,Russell,12.0
80711,Proof Theory,
80785,Natural Language Syntax,12.0
80999,Philosophy Colloquium,
69101,Racquetball,3.0
69102,Weight Training,3.0
69110,Personal Fitness,3.0
69120,Topics in Health and Physical Activity,3.0
69132,Advanced Tennis,3.0
69136,Basketball Skills,3.0
69137,Ultimate Frisbee,3.0
69138,Outdoor Soccer,3.0
69150,TBA,3.0
69151,Introduction to Yoga,3.0
69154,Introduction to Springboard Diving,3.0
69155,Cardio Fitness/Sculpt,3.0
69157,Swimming for Stroke Improvement,3.0
69160,Swim-Fit,3.0
69165,Cycling Core,3.0
69167,Beginning Ballroom Dance,2.0
69175,African-Caribbean Dance,2.0
69194,Emergency Medical Responder,6.0
33100,Basic Experimental Physics,6.0
33104,Experimental Physics,9.0
33121,TBA,12.0
33142,Physicss II for Engineering Students,12.0
33211,Physics III: Modern Essentials,10.0
33213,Mini-Course in Special Relativity,4.0
33224,"Stars, Galaxies and the Universe",9.0
33225,Quantum Physics and Structure of Matter,9.0
33231,Physical Analysis,10.0
33241,Introduction to Computational Physics,9.0
33331,Physical Mechanics I,10.0
33338,Intermediate Electricity and Magnetism I,10.0
33355,Nanoscience and Nanotechnology,9.0
33467,Astrophysics of Stars and the Galaxy,9.0
33650,General Relativity,9.0
33652,Introduction to String Theory,9.0
33755,Quantum Mechanics I,12.0
33759,Introduction to Mathematical Physics I,12.0
33761,Classical Electrodynamics I,12.0
33777,Introductory Astrophysics,12.0
33779,Introduction to Nuclear and Particle Physics,12.0
33794,Colloquium,1.0
85102,Introduction to Psychology,9.0
85211,Cognitive Psychology,9.0
85213,Human Information Processing and Artifical Intelligence,9.0
85221,Principles of Child Development,9.0
85241,Social Psychology,9.0
85261,Abnormal Psychology,9.0
85340,Research Methods in Social Psychology,9.0
85341,Organizational Communication,9.0
85370,perception,9.0
85390,Human Memory,9.0
85406,Autism: Psychological and Neuroscience Perspectives,9.0
85414,Cognitive Neuropsychology,9.0
85438,"Educational Goals, Instruction, and Assessment",9.0
85444,relationships,9.0
85484,Practicum in Child Development,
85714,Cognitive Neuropsychology,9.0
85738,"Educational Goals, Instruction, and Assessment",
85744,relationships,
85770,Perception,
85790,Human Memory,
85806,Autism: Psychological and Neuroscience Perspectives,
85811,Topics in Psychology,5.0
91800,Organizational Management,12.0
91801,Statistical Methods for Managers,12.0
91820,Strategic Planning,12.0
91843,Power and Influence,6.0
90704,"Poverty, Inequality and Social Policies:  An International Comparison",12.0
90710,Applied Economic Analysis,12.0
90717,Writing for Public Policy,6.0
90726,Money and Politics,6.0
90728,Introduction to Database Management,6.0
90737,Budget Management Control System,12.0
90739,Systems Synthesis I,12.0
90743,Urban and Regional Economic Development,12.0
90763,Human Rights Conflicts & Development,6.0
90777,Intermediate Statistical Methods,6.0
90778,Media and Public Policy Making,6.0
90782,Multi Media,12.0
90798,Environmental Policy & Planning,12.0
90801,Desktop Publishing,6.0
90811,Foundation of Social Innovation and Enterprise,6.0
90818,Health Care Quality & Performance Improvement,6.0
90823,Program Evaluation,12.0
90825,Innovation Management in Practice,
90836,Health Systems,6.0
90861,Health Policy,6.0
90872,Using R for Policy Data Analysis,6.0
90874,Special Topics: Principles & Practices of R&D; Management,6.0
90882,Behavioral Economics in Public Policy,12.0
90894,Policy Topics I: Federal Budget Policy,6.0
90896,Policy Topics: International Development Policy,6.0
90900,Internship,0.0
90906,Phd Econometrics I,12.0
16161,ROB Freshman Seminar: Artificial Intelligence and Humanity,9.0
16311,Introduction to Robotics,12.0
16375,Robotics for Creative Practice,10.0
16384,Robot Kinematics and Dynamics,12.0
16614,MS-RT Extended Project Course Sequence (EPCS),
16622,MSCV Capstone,12.0
16642,"Manipulation, Mobility, and Control",12.0
16720,Computer Vision,12.0
16741,Mechanics of Manipulation,12.0
16822,Geometry-based Methods in Vision,12.0
16831,Statistical Techniques in Robotics,12.0
16843,Manipulation Algorithms,12.0
16867,Human Robot Interaction,12.0
16868,Biomechanics & Motor Control,12.0
16899,Nuclear Robots,12.0
88230,Human Intelligence and Human Stupidity,9.0
88251,Empirical Research Methods,9.0
88275,Bubbles: Big Data for Human Minds,9.0
88281,Topics in Law: 1st Amendment,9.0
88341,Organizational Communication,9.0
88365,Behavioral Economics and Public Policy,9.0
88444,Public Policy and Regulation,9.0
88702,Behavioral Economics,12.0
88718,Large-scale Social Phenomena,12.0
17413,Software Engineering Reflection,6.0
17601,Data-driven Software Engineering,12.0
17648,Engineering Data Intensive Scalable Systems,12.0
17651,Models of Software Systems,12.0
17653,Managing Software Development,12.0
17751,Models of Software Systems,12.0
17791,Software Engineering Seminar,3.0
17808,Software Engineering Research,12.0
36200,Reasoning with Data,9.0
36201,Statistical Reasoning and Practice,9.0
36202,Methods for Statistics and Data Science,9.0
36208,Regression Analysis,9.0
36220,Engineering Statistics and Quality Control,9.0
36315,Statistical Graphics and Visualization,9.0
36350,Statistical Computing,9.0
36601,Perspectives in Data Science I,6.0
36611,Professional Skills for Statisticians,6.0
36617,Applied Linear Models,12.0
36700,Probability and Mathematical Statistics,12.0
36705,Intermediate Statistics,12.0
36758,Advanced Data Analysis II,12.0
36764,Teaching Statistics,3.0
36996,Statistics Departmental Seminar,
98012,Student Taught Courses (StuCo): Fun with Robots,3.0
98036,Student Taught Courses (StuCo):Intro to Cars and Motorsports,3.0
98075,Student Taught Courses (StuCo): Buddhism and Chinese Culture,3.0
98128,Student Taught Courses (StuCo): Fundamentals of Improv Comedy,3.0
98166,Student Taught Courses (StuCo): Intro to Video Game Analysis,3.0
98169,Student Taught Courses (StuCo): Origami Design Fundamentals,3.0
98171,Student Taught Courses (StuCo): How to Get a Job,3.0
98174,StuCo: Modern Version Control with Git,3.0
98182,Student Taught Courses (StuCo): Billiard Games: From Noob to Pro,3.0
98186,Student Taught Courses (StuCo): Roller Coasters: Background and Design,3.0
98194,Student Taught Courses (StuCo):Introduction to Puzzle Hunts,3.0
98205,Student Taught Courses (StuCo): Introduction to Minecraft,3.0
98217,Student Taught Courses (StuCo): Bhangra 101,3.0
98230,Student Taught Courses (StuCo): Avatar and Korra,3.0
98238,Student Taught Courses (StuCo): Classic Japanese Film,3.0
98239,Student Taught Courses (StuCo): League of Legends,3.0
98244,Student Taught Courses (StuCo): Sign Language Through Pop Music,3.0
98247,Student Taught Courses (StuCo): Harry Potter & JK Rowling's Wizarding World,3.0
98262,Student Taught Courses (StuCo): Intro to Boardgames,3.0
98269,Student Taught Courses (StuCo): Intro to Sabermetrics & Exploring Baseball Data,3.0
98275,Student Taught Courses (StuCo): Marvel Film and Media Studies,3.0
98279,"Student Taught Courses (StuCo): Lights, Camera, Architecture",3.0
98288,Student Taught Courses (StuCo): Star Wars: The Course Awakens,3.0
98294,Student Taught Courses (StuCo): Server-Side Programming with Node.js,3.0
98296,Student Taught Courses (StuCo): The Doctor WhoCo,3.0
98297,Student Taught Courses (StuCo): Leadership Theory and Practice,3.0
98300,Student Taught Courses (StuCo): Elementary Cantonese,3.0
98308,Student Taught Courses (StuCo): Vehicles of Armored Warfare,3.0
98310,Student Taught Courses (StuCo): Advanced Cantonese,3.0
98313,Student Taught Courses (StuCo): Dungeons & Dragons 101,3.0
98314,Student Taught Courses (StuCo): Introduction to Bollywood,3.0
98315,Student Taught Courses (StuCo): Masculinity in the Wild,3.0
45700,Financial and Managerial Accounting I,6.0
45710,Managerial Economics,6.0
45711,Global Economics,6.0
45720,Finance I,6.0
45730,Marketing Management,6.0
45740,Managing People and Teams,6.0
45745,Ethics and Leadership,6.0
45750,Probability and Statistics,6.0
45751,Optimization,6.0
45760,Operations Management,6.0
45770,Corporate Strategy,6.0
45790,Management Presentations,6.0
45800,Corporate Financial Reporting,6.0
45801,Financial Statement Analysis,6.0
45805,Lean Entrepreneurship,6.0
45806,Entrepreneurial Alternatives,6.0
45807,Commercialization and Innovation: Strategy,6.0
45817,Entrepreneurship Through Acquisition,6.0
45820,Finance II,6.0
45821,Investment Analysis,6.0
45823,Options,6.0
45831,Pricing Strategy,6.0
45840,Negotiations,6.0
45842,Organizational Learning and Strategic Managment,6.0
45853,Optimization for Interactive Marketing,6.0
45860,Demand Management and Price Optimization,6.0
45861,Six Sigma Tools and Techniques,6.0
45863,Risk Management,6.0
45880,Strategic IT,6.0
45881,Modern Data Management,6.0
45882,Digital Marketing and Social Media Strategy,6.0
45895,Acting for Business I,6.0
45896,Acting for Business II,6.0
45905,Funding Early Stage Ventures,6.0
45907,Commercialization and Innovation: Workshop,6.0
45908,Marketing for Entrepreneurship,6.0
45917,Entrepreneurship Through Acquisition Workshop,6.0
45920,Theory and Policy of Modern Finance,6.0
45932,Customer-Driven Strategies and Services,6.0
45941,Evidence-Based Management,6.0
45943,Managing Intellectual Capital & Knowledge,6.0
45951,Business Networks,6.0
45964,Real Options,6.0
45970,Studies in Strategy,6.0
45980,Big Data,6.0
45990,Management Game,12.0
45991,Strategic Management of the Enterprise,12.0
46906,MSCF Business Communication I,3.0
46921,Financial Data Science I,6.0
46923,Financial Data Science II,6.0
46927,Statistical and Machine Learning II,6.0
46936,Statistical Arbitrage,6.0
46941,Multi Period Asset Pricing,6.0
46944,Stochastic Calculus for Finance I,6.0
46954,Risk Management I,6.0
46955,Risk Management II,6.0
46972,MSCF Finance,6.0
46973,MSCF Options,6.0
46976,Financial Optimization,6.0
46977,MSCF Studies in Financial Engineering,6.0
46979,Asset Management,6.0
46982,Market Microstructure and Algorithmic Trading,6.0
47780,Mathematics for Economists,6.0
47800,Microeconomics I,6.0
47801,Microeconomics II,6.0
47802,Macroeconomics I,6.0
47803,Dynamic Competitive Analysis,6.0
